"time","aimc3.is[1]","aimc3.is[2]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w"
0.91105000000000003,24.663238064904462,108.26679777604726,-0.089875307625669185,-0.40556166738438937,-0.41258571488006635,-0.14817009621488847,14.797942838931373,84.036473346437901,37.139453983830073,-61.08302846082961,-0.089875307615685185,-0.40556166738660182,-0.41258571488006845,-0.14817009621489258,84.221017968017506,150.84400686578496,84.221017968005199,150.84400686578491
0.91110000000000002,22.472871672941935,109.68259549519694,-0.089622397148812913,-0.40561763141035839,-0.41020746026181187,-0.15463243152962142,13.483723003752722,83.841613609780623,38.333243878715642,-60.150365993709521,-0.089622397138827553,-0.40561763141256463,-0.41020746026181398,-0.1546324315296255,84.228560168360673,150.84400686113543,84.228560168348366,150.84400686113537
0.91115000000000002,20.27696113885132,111.07133047415611,-0.089369451823865423,-0.40567343771991804,-0.40772799353999084,-0.16105661371687982,12.166176683297651,83.626067438884391,39.517575339411188,-59.202862726157683,-0.089369451813878675,-0.40567343772211806,-0.40772799353999289,-0.16105661371688387,84.236102368703612,150.84400685649683,84.236102368691306,150.84400685649678
0.91120000000000001,18.076047703462606,112.4326602164128,-0.089116471749179249,-0.40572908629136917,-0.40514792612461359,-0.16744105760983996,10.845628622067521,83.389887825344729,40.692156372027668,-58.240752111919399,-0.089116471739191128,-0.40572908629356291,-0.4051479261246157,-0.16744105760984399,84.243644569046324,150.84400685186921,84.243644569034018,150.84400685186915
0.91125,15.870673266803649,113.76624914948444,-0.088863457023120818,-0.40578457710307392,-0.40246789388104065,-0.17378418775429044,9.522403960068436,83.133132662483547,41.856697616588221,-57.26427087862136,-0.088863457013131322,-0.4057845771052615,-0.40246789388104276,-0.17378418775429441,84.251186769388823,150.84400684725256,84.251186769376517,150.8440068472525
0.9113,13.661383112736772,115.07176793004599,-0.088610407744069725,-0.40583991013345611,-0.39968855879369514,-0.18008443927644763,8.1968298676279581,82.855865690296312,43.010911296259138,-56.273660622118229,-0.088610407734078855,-0.40583991013563747,-0.39968855879369725,-0.18008443927645157,84.258728969731052,150.84400684264693,84.258728969718746,150.84400684264688
0.91134999999999999,11.448722850006504,116.34889433021524,-0.088357324010419028,-0.40589508536100027,-0.39681060694002607,-0.18634025778587066,6.8692337099947558,82.558155504498558,44.154512440277209,-55.269166059740861,-0.088357324000426812,-0.40589508536317542,-0.39681060694002818,-0.18634025778587457,84.266271170073068,150.84400683805231,84.266271170060762,150.84400683805225
0.9114000000000001,9.233238124078099,117.59731329869568,-0.088104205920574566,-0.40595010276425314,-0.39383474822346304,-0.1925500996888837,5.5399428744317882,82.240075448452728,45.287218990055216,-54.251034856657725,-0.08810420591058099,-0.40595010276642202,-0.39383474822346515,-0.19255009968888759,84.273813370414871,150.84400683346865,84.273813370402564,150.84400683346863
0.91145000000000009,7.0154741345734379,118.81671711541466,-0.087851053572957583,-0.40600496232182182,-0.39076171597664155,-0.19871243249806711,4.2092844807358398,81.901703466581949,46.40875199812011,-53.219517356292073,-0.087851053562962647,-0.40600496232398448,-0.39076171597664366,-0.19871243249807097,84.281355570756432,150.84400682889608,84.281355570744125,150.84400682889606
0.91150000000000009,4.7959792825501637,120.00680466586212,-0.087597867066000604,-0.40605966401237537,-0.38759226918922157,-0.20482573601159479,2.8775875695223561,81.543123504115059,47.518834304845122,-52.174868797959164,-0.087597867056004336,-0.40605966401453181,-0.38759226918922368,-0.20482573601159859,84.288897771097766,150.8440068243346,84.288897771085459,150.84400682433457
