"Time","smee.stator.stray.port_p.Phi.re","constantSpeedQS.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smeeQS.short.port_p.reference.gamma","smee.excitation.electroMagneticConverter.Phi.re","constantSpeed.phi"
14.9227,-0.051749226,2341.7041,0.27877119,0.3531988,-0.063057072,4.6961994,0.34614125,2340.9187
14.9228,-0.049743704,2341.7197,0.26753953,0.36178112,-0.064650923,4.6962204,0.34614116,2340.9343
14.9229,-0.047689121,2341.7356,0.25604385,0.37000644,-0.066181019,4.6962414,0.34614104,2340.9502
14.923,-0.045587502,2341.7512,0.24429546,0.3778666,-0.067645848,4.6962624,0.34614095,2340.9658
14.9231,-0.043440927,2341.7668,0.23230599,0.38535386,-0.069043964,4.6962829,0.34614086,2340.9814
14.9232,-0.041251507,2341.7827,0.22008722,0.39246085,-0.070373982,4.6963038,0.34614074,2340.9973
14.9233,-0.039021406,2341.7983,0.20765124,0.39918053,-0.071634598,4.6963248,0.34614065,2341.0129
14.9234,-0.03675282,2341.814,0.19501033,0.40550628,-0.072824568,4.6963458,0.34614056,2341.0286
14.9235,-0.034447983,2341.8298,0.18217695,0.41143185,-0.073942721,4.6963668,0.34614044,2341.0444
14.9236,-0.032109175,2341.8455,0.16916376,0.41695136,-0.074987948,4.6963878,0.34614035,2341.0601
14.9237,-0.0297387,2341.8611,0.15598363,0.42205945,-0.075959213,4.6964087,0.34614027,2341.0757
