"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.974597,12099.887,0,4.96,5.8587189,0.028221896,1.089637,50.799732,-0.43265164,4.9699998,6.1320801,1
4.9747972,12099.887,0,4.96,5.8283768,0.029390654,1.089637,55.594658,-0.46361965,4.9699998,6.1320801,1
4.9749751,12099.887,0,4.96,5.801374,0.030425429,1.089637,59.894505,-0.49128133,4.9699998,6.1320801,1
4.9749751,12099.887,1,4.96,5.801374,0.030425429,1.089637,59.894505,-0.49128133,4.9699998,6.1320801,0
4.974997,12099.887,1,4.96,5.8048916,0.030553415,1.089637,60.428211,-0.48785049,4.9699998,6.1320801,0
4.9751968,12099.887,1,4.96,5.8366995,0.031717747,1.089637,65.262009,-0.45675713,4.9699998,6.1320801,0
4.9753971,12099.887,1,4.96,5.8682628,0.032888293,1.089637,70.058594,-0.42578372,4.9699998,6.1320801,0
4.9755969,12099.887,1,4.96,5.8994575,0.03406512,1.089637,74.780251,-0.39505336,4.9699998,6.1320801,0
4.9757972,12099.887,1,4.96,5.9301643,0.035248138,1.089637,79.390625,-0.36468744,4.9699998,6.1320801,0
4.975997,12099.887,1,4.96,5.9602647,0.036437236,1.089637,83.855148,-0.33480585,4.9699998,6.1320801,0
4.9761972,12099.887,1,4.96,5.9896441,0.037632287,1.089637,88.141579,-0.30552647,4.9699998,6.1320801,0
4.976397,12099.887,1,4.96,6.0181894,0.038833134,1.089637,92.220512,-0.27696487,4.9699998,6.1320801,0
4.9765973,12099.887,1,4.96,6.0457926,0.040039595,1.089637,96.065788,-0.24923378,4.9699998,6.1320801,0
4.9767971,12099.887,1,4.96,6.0723467,0.041251477,1.089637,99.654907,-0.22244266,4.9699998,6.1320801,0
4.9769969,12099.887,1,4.96,6.0977516,0.042468555,1.089637,102.96943,-0.19669724,4.9699998,6.1320801,0
4.9771972,12099.887,1,4.96,6.1219101,0.043690592,1.089637,105.99525,-0.17209914,4.9699998,6.1320801,0
4.977397,12099.887,1,4.96,6.1447301,0.044917326,1.089637,108.72281,-0.14874548,4.9699998,6.1320801,0
4.9775972,12099.887,1,4.96,6.1661248,0.046148486,1.089637,111.14726,-0.1267284,4.9699998,6.1320801,0
4.977797,12099.887,1,4.96,6.1860137,0.047383774,1.089637,113.26853,-0.10613482,4.9699998,6.1320801,0
4.9779973,12099.887,1,4.96,6.2043209,0.048622884,1.089637,115.09134,-0.087045997,4.9699998,6.1320801,0
4.9781971,12099.887,1,4.96,6.2209787,0.049865492,1.089637,116.62511,-0.069537267,4.9699998,6.1320801,0
4.9783974,12099.887,1,4.96,6.2359238,0.051111259,1.089637,117.88384,-0.053677727,4.9699998,6.1320801,0
4.9785972,12099.887,1,4.96,6.2491007,0.052359842,1.089637,118.88583,-0.039529987,4.9699998,6.1320801,0
4.978797,12099.887,1,4.96,6.2604613,0.053610876,1.089637,119.65346,-0.027149884,4.9699998,6.1320801,0
4.9789972,12099.887,1,4.96,6.2699633,0.054864001,1.089637,120.21277,-0.016586285,4.9699998,6.1320801,0
4.979197,12099.887,1,4.96,6.2775726,0.056118835,1.089637,120.59312,-0.0078808768,4.9699998,6.1320801,0
4.9793973,12099.887,1,4.96,6.2832632,0.057375003,1.089637,120.82668,-0.0010680186,4.9699998,6.1320801,0
4.9795971,12099.887,1,4.96,6.2870154,0.058632113,1.089637,120.94794,0.0038254,4.9699998,6.1320801,0
4.9797974,12099.887,1,4.96,6.2888179,0.059889778,1.089637,120.99316,0.0067800642,4.9699998,6.1320801,0
4.9799972,12099.887,1,4.96,6.2886662,0.061147608,1.089637,120.99979,0.0077843182,4.9699998,6.1320801,0
4.98,12099.887,1,4.96,6.2886505,0.061165042,1.089637,120.99979,0.0077845058,4.9699998,6.1320801,0
4.98,12099.979,1,4.96,6.2886505,0,0.77845061,0,0,4.9699998,6.1165042,0
4.98,12099.979,1,4.96,6.2886505,1.565442e-11,0.77845061,1.5041798e-16,-1.9350388e-14,4.9699998,6.1165042,0
4.98,12099.979,1,4.98,6.2886505,1.565442e-11,0.77845061,1.5041798e-16,-1.9350388e-14,4.9699998,6.1165042,0
4.9801974,12099.979,1,4.98,6.2865653,0.0012401708,0.77845061,0.006104276,-0.00095030706,4.9699998,6.1165042,0
4.9803972,12099.979,1,4.98,6.2825255,0.0024971617,0.77845061,0.04975174,-0.0038510475,4.9699998,6.1165042,0
4.980597,12099.979,1,4.98,6.2765665,0.0037531527,0.77845061,0.16842437,-0.0086909793,4.9699998,6.1165042,0
4.9807973,12099.979,1,4.98,6.2687154,0.0050077615,0.77845061,0.39841971,-0.015450988,4.9699998,6.1165042,0
4.9809971,12099.979,1,4.98,6.259006,0.0062606144,0.77845061,0.77428055,-0.024104396,4.9699998,6.1165042,0
4.9811974,12099.979,1,4.98,6.2474799,0.0075113419,0.77845061,1.3282487,-0.034617048,4.9699998,6.1165042,0
4.9813972,12099.979,1,4.98,6.2341852,0.0087595871,0.77845061,2.0897553,-0.046947449,4.9699998,6.1165042,0
4.9815974,12099.979,1,4.98,6.2191787,0.010005001,0.77845061,3.0849595,-0.061046939,4.9699998,6.1165042,0
4.9817972,12099.979,1,4.98,6.2025218,0.011247247,0.77845061,4.3363342,-0.076859862,4.9699998,6.1165042,0
4.9819975,12099.979,1,4.98,6.1842837,0.012486002,0.77845061,5.8623133,-0.094323814,4.9699998,6.1165042,0
4.9821973,12099.979,1,4.98,6.1645393,0.013720958,0.77845061,7.6769972,-0.11336987,4.9699998,6.1165042,0
4.9823976,12099.979,1,4.98,6.1433702,0.01495182,0.77845061,9.7899361,-0.13392285,4.9699998,6.1165042,0
4.9825974,12099.979,1,4.98,6.1208625,0.016178314,0.77845061,12.205973,-0.15590163,4.9699998,6.1165042,0
4.9827971,12099.979,1,4.98,6.0971084,0.017400179,0.77845061,14.925172,-0.17921947,4.9699998,6.1165042,0
4.9829974,12099.979,1,4.98,6.0722041,0.018617177,0.77845061,17.942816,-0.20378433,4.9699998,6.1165042,0
4.9831972,12099.979,1,4.98,6.0462523,0.019829087,0.77845061,21.249481,-0.22949928,4.9699998,6.1165042,0
4.9833975,12099.979,1,4.98,6.0193572,0.02103571,0.77845061,24.831184,-0.25626281,4.9699998,6.1165042,0
4.9835973,12099.979,1,4.98,5.9916282,0.022236871,0.77845061,28.669605,-0.28396928,4.9699998,6.1165042,0
4.9837976,12099.979,1,4.98,5.9631786,0.023432409,0.77845061,32.742374,-0.31250933,4.9699998,6.1165042,0
4.9839973,12099.979,1,4.98,5.9341226,0.024622196,0.77845061,37.023426,-0.34177035,4.9699998,6.1165042,0
4.9841976,12099.979,1,4.98,5.9045787,0.02580612,0.77845061,41.483406,-0.37163684,4.9699998,6.1165042,0
