"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.w","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.phi","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","transformer.l2sigma.inductor[1].i","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","transformer.l2sigma.inductor[3].i"
2.0131981,0.21733008,123.23036,-0.067804255,133.78719,-0.51939064,412.728,-0.014565446,0.15506937,-55.728596,-0.00072682888
2.0132983,0.21792695,123.24226,-0.053853072,133.7995,-0.51844448,412.10712,-0.014848761,0.15657963,-67.979477,-0.00018504543
2.0133982,0.21850614,123.254,-0.039933417,133.81183,-0.51707798,411.03104,-0.015117424,0.15807149,-79.961189,0.0003569214
2.0134983,0.21906732,123.26558,-0.026058415,133.82416,-0.51529241,409.50186,-0.015371168,0.15954499,-91.662033,0.00089853676
2.0135982,0.21961014,123.27702,-0.012241158,133.83649,-0.51308924,407.52219,-0.015609743,0.16100021,-103.07063,0.001439266
2.0136983,0.22013429,123.28832,0.0015053262,133.84882,-0.51047057,405.09506,-0.015832916,0.1624372,-114.1759,0.0019785755
2.0137982,0.22063944,123.29951,0.015168075,133.86115,-0.50743866,402.22403,-0.016040463,0.16385606,-124.96713,0.0025159332
2.0138981,0.2211253,123.31059,0.028734207,133.87347,-0.50399637,398.91309,-0.016232181,0.16525687,-135.43393,0.0030508083
2.0139983,0.22159155,123.32157,0.042190939,133.8858,-0.50014693,395.16663,-0.016407883,0.16663975,-145.56628,0.0035826734
2.0140982,0.2220379,123.33247,0.055525593,133.89813,-0.49589384,390.98956,-0.01656739,0.16800477,-155.35451,0.0041110031
2.0141983,0.22246404,123.34328,0.068725608,133.91048,-0.49124116,386.38724,-0.016710551,0.16935207,-164.78934,0.0046352763
2.0142982,0.22286971,123.35404,0.081778556,133.92281,-0.48619327,381.36542,-0.016837221,0.17068176,-173.86183,0.0051549757
2.0143983,0.22325461,123.36475,0.094672158,133.93515,-0.48075491,375.9303,-0.016947275,0.17199397,-182.56351,0.0056695878
2.0144982,0.22361848,123.37543,0.10739428,133.94748,-0.47493124,370.08847,-0.017040605,0.17328882,-190.88623,0.0061786054
2.0145984,0.22396104,123.38608,0.11993297,133.95982,-0.4687278,363.84705,-0.017117118,0.17456648,-198.8223,0.0066815251
2.0146983,0.22428206,123.39672,0.13227645,133.97217,-0.46215045,357.21338,-0.017176742,0.17582707,-206.3644,0.0071778521
2.0147982,0.22458127,123.40736,0.14441311,133.9845,-0.45520547,350.1954,-0.017219413,0.17707077,-213.50568,0.0076670954
2.0148983,0.22485843,123.41802,0.15633158,133.99684,-0.44789949,342.8013,-0.017245093,0.17829771,-220.23969,0.0081487717
2.0149982,0.22511332,123.4287,0.1680207,134.00919,-0.44023946,335.0397,-0.017253755,0.17950809,-226.56041,0.008622407
2.0150983,0.22534569,123.43943,0.17946948,134.02153,-0.43223274,326.91965,-0.01724539,0.18070205,-232.46227,0.0090875337
2.0151982,0.22555535,123.45022,0.19066726,134.03387,-0.42388695,318.45047,-0.017220007,0.18187979,-237.94014,0.0095436918
2.0152984,0.22574206,123.46107,0.20160352,134.04622,-0.41521007,309.64188,-0.01717763,0.18304148,-242.98935,0.0099904314
2.0153983,0.22590563,123.472,0.21226808,134.05856,-0.40621045,300.50394,-0.017118303,0.18418731,-247.60567,0.010427312
2.0154984,0.22604586,123.48302,0.22265099,134.07092,-0.39689672,291.04703,-0.017042084,0.18531749,-251.78531,0.010853902
2.0155983,0.22616257,123.49416,0.23274258,134.08327,-0.38727778,281.28189,-0.016949045,0.18643218,-255.52499,0.01126978
2.0156984,0.22625558,123.50542,0.24253345,134.09561,-0.37736291,271.21954,-0.016839281,0.18753162,-258.82187,0.011674536
2.0157983,0.22632472,123.51682,0.25201452,134.10797,-0.36716157,260.87128,-0.0167129,0.18861601,-261.67355,0.012067772
2.0158982,0.22636983,123.52835,0.26117697,134.12033,-0.35668361,250.24872,-0.016570026,0.18968555,-264.07812,0.012449097
2.0159984,0.22639075,123.54005,0.27001238,134.13268,-0.34593907,239.36377,-0.016410802,0.19074047,-266.03415,0.012818137
2.0160983,0.22638734,123.55193,0.27851257,134.14503,-0.33493829,228.22856,-0.016235381,0.19178097,-267.54068,0.013174526
2.0161984,0.22635946,123.564,0.2866697,134.15739,-0.32369187,216.8555,-0.016043941,0.1928073,-268.5972,0.013517914
2.0162983,0.22630699,123.57626,0.29447627,134.16975,-0.31221059,205.25723,-0.015836667,0.19381966,-269.20367,0.013847962
2.0163984,0.22622979,123.58875,0.30192515,134.1821,-0.30050555,193.44659,-0.015613765,0.19481829,-269.36057,0.014164343
2.0164983,0.22612777,123.60145,0.30900952,134.19446,-0.28858796,181.43665,-0.015375457,0.19580342,-269.06876,0.014466745
2.0165985,0.22600082,123.6144,0.31572297,134.20683,-0.27646935,169.24069,-0.015121975,0.19677529,-268.32965,0.01475487
2.0166984,0.22584885,123.62759,0.32205939,134.21919,-0.26416132,156.87215,-0.01485357,0.19773413,-267.14511,0.015028433
2.0167985,0.22567177,123.64106,0.32801306,134.23155,-0.25167578,144.34464,-0.014570508,0.19868019,-265.51743,0.015287166
2.0168984,0.2254695,123.6548,0.33357865,134.24391,-0.23902474,131.67192,-0.014273068,0.19961371,-263.44937,0.015530811
2.0169983,0.22524199,123.66882,0.33875123,134.25629,-0.22622037,118.86794,-0.013961543,0.20053492,-260.94421,0.015759129
2.0170984,0.22498918,123.68316,0.34352618,134.26866,-0.21327502,105.94671,-0.013636241,0.2014441,-258.00558,0.015971893
2.0171983,0.22471099,123.6978,0.34789935,134.28102,-0.20020114,92.922394,-0.013297482,0.20234147,-254.6377,0.016168896
2.0172985,0.2244074,123.71277,0.3518669,134.2934,-0.18701135,79.809219,-0.012945603,0.2032273,-250.84508,0.016349941
2.0173984,0.22407839,123.72807,0.35542551,134.30577,-0.17371833,66.621529,-0.012580948,0.20410182,-246.63278,0.016514853
2.0174985,0.22372392,123.74372,0.3585721,134.31815,-0.1603349,53.373722,-0.012203879,0.20496528,-242.00629,0.016663464
2.0175984,0.22334397,123.75973,0.36130413,134.33052,-0.14687395,40.080235,-0.011814767,0.20581797,-236.97147,0.01679563
2.0176985,0.22293854,123.7761,0.36361939,134.3429,-0.13334845,26.755554,-0.011413997,0.20666009,-231.53464,0.01691122
2.0177984,0.22250764,123.79286,0.36551613,134.35527,-0.11977141,13.4142,-0.011001964,0.20749195,-225.70256,0.017010123
2.0178983,0.22205126,123.81001,0.36699292,134.36766,-0.10615592,0.07067325,-0.010579075,0.20831376,-219.48235,0.017092235
2.0179985,0.22156945,123.82755,0.36804885,134.38004,-0.092515104,-13.260517,-0.010145747,0.20912579,-212.88158,0.017157482
2.0180984,0.2210622,123.8455,0.36868331,134.39243,-0.078862071,-26.564877,-0.0097024078,0.2099283,-205.90817,0.017205795
2.0181985,0.22052957,123.86388,0.36889625,134.4048,-0.065209977,-39.827969,-0.0092494953,0.21072155,-198.57048,0.017237127
2.0182984,0.21997161,123.88268,0.36868784,134.41719,-0.051571965,-53.0354,-0.008787455,0.21150579,-190.8772,0.017251449
2.0183985,0.21938835,123.90192,0.36805883,134.42958,-0.037961159,-66.172836,-0.0083167451,0.21228126,-182.8374,0.017248744
2.0184984,0.21877988,123.9216,0.3670103,134.44197,-0.024390655,-79.226036,-0.0078378292,0.21304822,-174.46053,0.017229019
2.0185986,0.21814623,123.94173,0.36554375,134.45438,-0.010873509,-92.180855,-0.0073511791,0.21380694,-165.75635,0.017192287
2.0186985,0.21748751,123.96233,0.36366108,134.46677,0.0025772778,-105.02326,-0.0068572764,0.21455765,-156.735,0.017138591
2.0187986,0.21680379,123.9834,0.36136463,134.47917,0.015948771,-117.73934,-0.0063566081,0.2153006,-147.40691,0.01706798
2.0188985,0.21609516,124.00494,0.35865709,134.49156,0.029228119,-130.31534,-0.0058496683,0.21603605,-137.78285,0.016980525
2.0189984,0.21536174,124.02697,0.35554162,134.50397,0.042402558,-142.73761,-0.0053369575,0.21676426,-127.87391,0.016876312
2.0190985,0.21460363,124.04949,0.35202172,134.51637,0.055459432,-154.99275,-0.004818981,0.21748544,-117.69143,0.016755443
2.0191984,0.21382093,124.0725,0.34810132,134.52878,0.068386197,-167.06749,-0.0042962506,0.21819986,-107.24706,0.016618039
