"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","aimc.is[2]","loadInertia.phi","loadInertia.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
1.57565,0.11604539340982729,0.010831122654481457,0.16953157033237562,-0.16026248235233551,-302.60391656519801,219.40041551139589,83.887265923604872,105.47258927444526,385.78964185814948,136.20938153667674
1.5757000000000001,0.11599148783631406,0.011432154525015311,0.17202749449457005,-0.15758028862809936,-303.79915708230806,215.86864448752777,83.892539610365517,105.4748811315045,391.71196107536281,127.95080673615354
1.57575,0.11593447204968117,0.012032891998958711,0.17448098796958758,-0.15485922857970572,-304.91926933461531,212.28359513324924,83.897813411716129,105.47717287512184,397.53730638994296,119.66080050589859
1.5758000000000001,0.11587434779090086,0.012633318995431842,0.17689144570275239,-0.15209997344955947,-305.96397836166153,208.64615515056181,83.903087327651122,105.47946450529625,403.26424028200097,111.34141300155173
1.57585,0.11581111688391707,0.013233419444375281,0.17925827316413029,-0.14930320380300086,-306.93302770822186,204.95722496807704,83.908361358164797,105.48175602202667,408.89134938704484,102.99470149562178
1.5759000000000001,0.1157447812355764,0.013833177286995979,0.18158088649527573,-0.14646960936431697,-307.82617948737067,201.21771752342713,83.913635503251456,105.48404742531199,414.41724484489953,94.62272987654336
1.5759500000000002,0.11567534283581168,0.014432576476227031,0.183858712932641,-0.14359988913329008,-308.64321487754387,197.42855864606796,83.918909762905443,105.48633871515119,419.84056328458456,86.227568406469246
1.5760000000000001,0.11560280375733262,0.015031600977118805,0.18609119068864544,-0.14069475094823766,-309.38393376764327,193.59068626445134,83.924184137121102,105.48862989154317,425.1599665626548,77.811292964549011
1.5760500000000002,0.11552716615547902,0.015630234767256477,0.18827776900626292,-0.13775491123782388,-310.04815467423134,189.70505000798295,83.929458625892721,105.49092095448688,430.37414189990898,69.375984478701454
1.5761000000000001,0.1154484322684783,0.016228461837237786,0.19041790868205533,-0.13478109520459444,-310.63571539383872,185.77261176529032,83.934733229214643,105.49321190398125,435.48180309659455,60.923728707003789
1.5761500000000002,0.11536660441711739,0.016826266191070548,0.19251108191480204,-0.13177403638120236,-311.1464725961286,181.79434486306417,83.940007947081227,105.4955027400252,440.4816901951711,52.45661550395014
1.5762,0.11528168500453487,0.017423631846546241,0.19455677227646667,-0.12873447632053914,-311.5803016089863,177.77123352508227,83.94528277948676,105.49779346261768,445.37256942394504,43.976738221274395
1.5762500000000002,0.11519367651652623,0.018020542835773926,0.19655447531819836,-0.12566316481581155,-311.93709720023531,173.70427355169647,83.950557726425615,105.50008407175761,450.15323460476122,35.486193469632113
1.5763,0.11510258152121056,0.018616983205527834,0.19850369839156221,-0.12256085945822943,-312.21677312729406,169.59447148584323,83.955832787892049,105.50237456744394,454.82250675170002,26.987080419030065
1.5763500000000001,0.11500840266877015,0.019212937017656563,0.20040396055456053,-0.11942832529110869,-312.41926181961736,165.44284397873508,83.961107963880465,105.50466494967556,459.37923386426826,18.481500199889208
1.5764,0.11491114269178486,0.019808388349574463,0.20225479322487211,-0.11626633502843407,-312.54451523439803,161.25041851118809,83.96638325438515,105.50695521845144,463.82229244558005,9.971555607882177
1.5764500000000001,0.11481080440488189,0.020403321294656648,0.20405573997653098,-0.11307566861930594,-312.59250436723727,157.01823255627011,83.971658659400433,105.50924537377048,468.15058704339685,1.4593504461178799
1.5765,0.11470739070452607,0.02099771996260737,0.20580635649313658,-0.10985711295114817,-312.56321900873792,152.74733305571564,83.976934178920629,105.51153541563163,472.36305015178914,-7.053011027100049
1.5765500000000001,0.11460090456918552,0.021591568479963446,0.2075062110301239,-0.10661146189730154,-312.45666830020087,148.4387767659432,83.982209812940098,105.51382534403383,476.45864328941752,-15.563424525673559
1.5766,0.11449134905915689,0.022184850990482521,0.20915488441905158,-0.10333951604978125,-312.27288057052459,144.09362981937298,83.987485561453127,105.51611515897596,480.43635701943327,-24.069786285658477
1.5766500000000001,0.11437872731629767,0.022777551655540344,0.21075196995083653,-0.10004208238229446,-312.01190298305164,139.71296709833172,83.992761424454116,105.51840486045701,484.29521068911384,-32.569993620049324
1.5767,0.11426304256407957,0.023369654654565138,0.21229707368475145,-0.09671997418121217,-311.6738018511947,135.29787230954719,83.99803740193731,105.52069444847585,488.03425315436448,-41.061945410204444
1.5767500000000001,0.11414429810754309,0.023961144185501857,0.21378981463689975,-0.093374010899966886,-311.25866276478962,130.84943786233887,84.003313493897068,105.52298392303145,491.65256322546054,-49.543542616681108
1.5768,0.1140224973329988,0.024552004465154903,0.21522982460327944,-0.090005017797850015,-310.76659014330232,126.36876416972623,84.008589700327718,105.52527328412272,495.14924926699081,-58.012688815080622
