"Time","rectifier.thyristor_p2.off","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n1.off","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","inductor.i","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.thyristor_n2.off","rectifier.thyristor_p1.off","pulse2.twoPulse.filter[1].firstOrder.y","meanCurrent.x","lMains.i","pulse2.twoPulse.timerNegative[1].entryTime"
2.461993,1,2.460042,1,99.872803,96.42746,351.26227,92.889343,14.371207,4.8149571,143.66269,0.064343661,12079.077,-15.653429,0,0,13.923454,0.19050793,92.891174,2.450042
2.462193,1,2.460042,1,99.872803,96.42746,351.29102,92.882492,13.903129,6.6415024,143.65665,0.08345224,12079.077,-15.402472,0,0,23.571392,0.20908502,92.884483,2.450042
2.462393,1,2.460042,1,99.872803,96.42746,351.31973,92.967125,13.373185,8.7676706,143.65063,0.10406987,12079.077,-15.08391,0,0,32.970451,0.22766995,92.969261,2.450042
2.4625931,1,2.460042,1,99.872803,96.42746,351.34848,93.138268,12.784676,11.198318,143.64473,0.12611544,12079.077,-14.700119,0,0,42.102108,0.24628055,93.140541,2.450042
2.4627931,1,2.460042,1,99.872803,96.42746,351.3772,93.39061,12.140983,13.933512,143.63901,0.14950222,12079.077,-14.253595,0,0,50.94669,0.26493359,93.393013,2.450042
2.4629931,1,2.460042,1,99.872803,96.42746,351.40591,93.718521,11.445569,16.968529,143.63353,0.17413817,12079.077,-13.746963,0,0,59.483727,0.28364477,93.721046,2.450042
2.4631932,1,2.460042,1,99.872803,96.42746,351.43466,94.116096,10.701988,20.293924,143.62836,0.19992635,12079.077,-13.182978,0,0,67.692268,0.30242857,94.118729,2.450042
2.4633932,1,2.460042,1,99.872803,96.42746,351.46338,94.577118,9.9138765,23.895689,143.62355,0.22676523,12079.077,-12.564528,0,0,75.551147,0.32129839,94.579857,2.450042
2.4635932,1,2.460042,1,99.872803,96.42746,351.49213,95.095161,9.0849581,27.755461,143.61917,0.25454918,12079.077,-11.894641,0,0,83.039253,0.3402662,95.097984,2.450042
2.4637933,1,2.460042,1,99.872803,96.42746,351.52084,95.663559,8.2190351,31.850821,143.61523,0.28316885,12079.077,-11.176467,0,0,90.135788,0.35934278,95.666458,2.450042
2.4639933,1,2.460042,1,99.872803,96.42746,351.54956,96.275444,7.3199878,36.15564,143.61182,0.31251156,12079.077,-10.413288,0,0,96.82045,0.37853754,96.278404,2.450042
2.4641933,1,2.460042,1,99.872803,96.42746,351.57828,96.92379,6.3917627,40.640495,143.60893,0.34246176,12079.077,-9.6085062,0,0,103.07365,0.39785841,96.926811,2.450042
2.4643934,1,2.460042,1,99.872803,96.42746,351.60703,97.601425,5.4383674,45.273132,143.6066,0.37290162,12079.077,-8.7656393,0,0,108.87672,0.41731203,97.604492,2.450042
2.4645934,1,2.460042,1,99.872803,96.42746,351.63574,98.301071,4.4638605,50.018978,143.60486,0.40371126,12079.077,-7.8883109,0,0,114.21205,0.43690354,98.304169,2.450042
2.4647932,1,2.460042,1,99.872803,96.42746,351.66446,99.015358,3.4723415,54.841663,143.60371,0.43476936,12079.077,-6.9802423,0,0,119.06326,0.45663655,99.018478,2.450042
2.4649932,1,2.460042,1,99.872803,96.42746,351.69318,99.73687,2.4679399,59.703613,143.6032,0.46595368,12079.077,-6.0452418,0,0,123.41531,0.47651327,99.73999,2.450042
2.4651933,1,2.460042,1,99.872803,96.42746,351.72189,100.45815,1.4548029,64.566628,143.60327,0.49714148,12079.077,-5.0871964,0,0,127.25469,0.49653441,100.46127,2.450042
2.4653933,1,2.460042,1,99.872803,96.42746,351.75061,101.17177,0.43708333,69.392517,143.60397,0.52820992,12079.077,-4.1100545,0,0,130.56944,0.51669919,101.17487,2.450042
2.4655933,1,2.460042,1,99.872803,96.42746,351.77936,101.8703,-0.58107334,74.143654,143.60526,0.55903679,12079.077,-3.1178186,0,0,133.34932,0.53700531,101.87337,2.450042
2.4657934,1,2.460042,1,99.872803,96.42746,351.80807,102.54641,-1.5955424,78.783607,143.60713,0.58950067,12079.077,-2.1145298,0,0,135.58585,0.55744898,102.54943,2.450042
2.4659934,1,2.460042,1,99.872803,96.42746,351.83679,103.19283,-2.6022332,83.277679,143.60957,0.61948174,12079.077,-1.1042546,0,0,137.27242,0.5780251,103.1958,2.450042
