"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w"
1.21835,0.074273759041229861,0.078975390303244603,0.22457767144940263,-0.096353411421915322,1.1525401936622167e-14,266.69775046598744,55.394727000922956,96.773038844389134,58.02909524207282,99.979112755370565
1.2184000000000001,0.073797698601059905,0.079426842225031338,0.22606284598767254,-0.092814488511867618,8.5386157402378375e-15,266.70346034770785,55.399565739635612,96.776509643218432,58.034094282846631,99.982518172938313
1.21845,0.073318921866307771,0.079875399170433833,0.2274922592848472,-0.089252683972224869,5.7440095637221362e-15,266.70916988889343,55.404404651884725,96.779980303340807,58.039093493887783,99.985923450480456
1.2185000000000001,0.072837446594926872,0.080321044962360463,0.22886555835901728,-0.085668876034620936,3.3543477057655794e-15,266.71487908955834,55.409243737663402,96.783450824751952,58.044092875189349,99.989328587990784
1.21855,0.072353290636327408,0.080763763529106219,0.2301824006640987,-0.08206394624849099,1.0217638846269455e-15,266.72058794971639,55.414082996964666,96.786921207447477,58.049092426744259,99.992733585463014
1.2186000000000001,0.071866471942408736,0.081203538918502821,0.23144246461613377,-0.078438785696400282,-2.5011187037266607e-16,266.72629646938179,55.418922429781603,96.790391451423034,58.054092148545564,99.996138442890967
1.21865,0.071377008555905425,0.081640355285750463,0.23264543990563644,-0.074794288748737031,1.0556969662421837e-16,266.73200464856842,55.423762036107263,96.79386155667423,58.059092040586208,99.999543160268416
1.2187000000000001,0.070884918612944325,0.082074196897759522,0.23379103048252553,-0.071131354630156407,2.7504620566011949e-15,266.73771248729025,55.428601815934726,96.797331523196732,58.064092102859249,100.00294773758911
1.21875,0.070390220342407189,0.082505048133726291,0.23487895466881481,-0.067450887215730518,8.4468231454525187e-15,266.7434199855615,55.433441769257023,96.800801350986106,58.069092335357645,100.00635217484681
1.2188000000000001,0.069892932064050894,0.08293289348423713,0.23590894408681762,-0.063753794244127082,1.6623326485842579e-14,266.74912714339592,55.438281896067281,96.80427104003806,58.074092738074413,100.00975647203531
1.21885,0.069393072184142562,0.083357717547191706,0.23688074010907842,-0.060040985312042001,2.0928341439830244e-14,266.75483396080762,55.443122196358495,96.80774059034816,58.079093311002509,100.01316062914836
1.2189000000000001,0.068890659207660881,0.08377950504446062,0.2377941066122278,-0.056313377888327985,2.4602483747801208e-14,266.76054043781068,55.447962670123758,96.811210001912087,58.084094054134987,100.0165646461797
1.21895,0.068385711726168669,0.084198240808137717,0.23864881880787012,-0.052571891560532248,2.6770022845496582e-14,266.76624657441891,55.452803317356135,96.814679274725421,58.089094967464789,100.01996852312311
1.2190000000000001,0.067878248420402382,0.084613909785212382,0.23944466655783225,-0.048817449406113753,2.633768515937914e-14,266.7719523706466,55.457644138048693,96.818148408783799,58.094096050984966,100.02337225997236
1.21905,0.067368288059615186,0.085026497038120777,0.24018145446694933,-0.045050977778799101,2.1976242467813686e-14,266.77765782650755,55.462485132194452,96.821617404082829,58.099097304688456,100.02677585672119
1.2191000000000001,0.066855849500124923,0.085435987744308425,0.24085900116110087,-0.041273405786218832,1.3459741749992603e-14,266.7833629420158,55.467326299786549,96.825086260618164,58.10409872856831,100.03017931336336
1.21915,0.06634095167984623,0.085842367190305538,0.24147713420471806,-0.037485663117199287,1.027018777517516e-14,266.78906771718545,55.472167640817979,96.828554978385412,58.109100322617465,100.03358262989261
