"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.inertiaRotor.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.is[1]","smee.inertiaRotor.w","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smee.is[2]"
2.0177984,-0.28767896,-0.45055678,302.84097,0.34952798,12.695396,159.28185,0.0069331857,-0.46200791,14.839309
2.0178983,-0.27657196,-0.45056319,302.8569,0.35841283,12.011825,159.28641,0.0070331632,-0.46201324,15.688263
2.0179985,-0.26519075,-0.45056966,302.87283,0.36694464,11.304057,159.29088,0.0071338988,-0.46201861,16.532389
2.0180984,-0.25354657,-0.45057616,302.88876,0.37511501,10.572674,159.29524,0.0072353915,-0.462024,17.370558
2.0181985,-0.24165083,-0.45058268,302.90469,0.38291577,9.8183069,159.29951,0.0073376386,-0.46202946,18.201622
2.0182984,-0.22951533,-0.45058924,302.92062,0.39033923,9.0415764,159.30368,0.0074406383,-0.46203491,19.024496
2.0183985,-0.217152,-0.45059583,302.93655,0.39737803,8.2431669,159.30774,0.0075443881,-0.46204042,19.838049
2.0184984,-0.20457304,-0.45060241,302.95248,0.40402514,7.4238281,159.31171,0.0076488857,-0.46204594,20.641129
2.0185986,-0.19179085,-0.45060903,302.96841,0.410274,6.5842819,159.31558,0.0077541289,-0.46205151,21.432648
2.0186985,-0.17881806,-0.45061567,302.98434,0.41611838,5.7253156,159.31935,0.0078601148,-0.46205708,22.211493
2.0187986,-0.16566744,-0.45062235,303.00027,0.42155251,4.8477845,159.32301,0.0079668416,-0.46206272,22.976519
2.0188985,-0.15235199,-0.45062903,303.0162,0.42657092,3.9525106,159.32658,0.008074306,-0.46206835,23.726656
2.0189984,-0.13888484,-0.45063573,303.03214,0.43116871,3.0403721,159.33006,0.0081825061,-0.46207401,24.460815
2.0190985,-0.12527926,-0.45064244,303.0481,0.43534121,2.1123259,159.33344,0.0082914382,-0.46207973,25.177876
2.0191984,-0.1115487,-0.45064917,303.06403,0.43908432,1.1692818,159.33672,0.0084011005,-0.46208546,25.876797
2.0192986,-0.097706698,-0.45065594,303.07996,0.44239432,0.21220256,159.33989,0.0085114893,-0.46209121,26.556532
2.0193985,-0.083766922,-0.4506627,303.09589,0.44526786,-0.75786436,159.34297,0.0086226016,-0.46209696,27.215996
2.0194986,-0.069743134,-0.45066947,303.11182,0.44770208,-1.7399292,159.34596,0.0087344358,-0.46210277,27.854195
2.0195985,-0.05564918,-0.45067626,303.12775,0.44969454,-2.7329557,159.34885,0.0088469861,-0.46210858,28.470129
2.0196986,-0.041498967,-0.45068309,303.14368,0.45124325,-3.7358165,159.35164,0.0089602517,-0.46211442,29.062773
2.0197985,-0.027306471,-0.45068988,303.15964,0.45234662,-4.7474527,159.35434,0.0090742288,-0.46212029,29.631186
2.0198984,-0.013085707,-0.45069671,303.17557,0.45300356,-5.7667651,159.35693,0.0091889128,-0.46212617,30.174437
2.0199986,0.0011492844,-0.45070353,303.1915,0.45321333,-6.7925591,159.35944,0.0093043018,-0.46213207,30.691563
2.0200984,0.015384442,-0.45071036,303.20743,0.45297575,-7.8237176,159.36185,0.0094203921,-0.462138,31.181698
2.0201986,0.029605705,-0.45071721,303.22339,0.45229095,-8.8590908,159.36417,0.00953718,-0.46214393,31.643982
2.0202985,0.043799032,-0.45072407,303.23932,0.45115963,-9.8974304,159.36638,0.0096546616,-0.46214986,32.077541
