"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","rectifier.pre_p[2].u","rectifier.pre_n[1].u","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_p[1].u","meanCurrent.x","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[2].off"
4.9641967,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.360909,9.2440119,0.087731943,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.0115029,1,0
4.9643965,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.371254,9.9459124,0.099541962,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.014176278,1,0
4.9645967,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.37824,10.310579,0.10802753,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.01685139,1,0
4.9647965,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.381845,10.446769,0.11315515,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.01952756,1,0
4.9649968,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.382066,10.466842,0.1149046,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.022204114,1,0
4.9650002,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.382041,10.466842,0.11490507,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.022249144,1,0
4.9650002,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9450002,4.9583335,4.9616666,13.382041,10.466842,0.11490507,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.022249164,1,0
4.9650002,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9650002,4.9583335,4.9616666,13.382041,10.466842,0.11490507,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.022249164,0,0
4.9651966,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9650002,4.9583335,4.9616666,13.378907,10.485005,0.11326896,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.024880374,0,0
4.9653969,4.9516668,1,1,1,13.356964,2.9665356,1,0,4.9650002,4.9583335,4.9616666,13.37239,10.615438,0.10825476,0,6288.1177,0,0,4.9483333,1,4.9549999,0,0.027555665,0,0
