"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9749751,0,1,12099.887,4.96,0,5.8013711,0.030425413,1,59.894562,-0.49128163,4.9699998,6.1320772,1.0895756
4.9749751,1,0,12099.887,4.96,1,5.8013711,0.030425413,0,59.894562,-0.49128163,4.9699998,6.1320772,1.0895756
4.974997,1,0,12099.887,4.96,1,5.8048887,0.030553399,0,60.428268,-0.48785079,4.9699998,6.1320772,1.0895756
4.9751968,1,0,12099.887,4.96,1,5.8366961,0.031717733,0,65.26207,-0.45675743,4.9699998,6.1320772,1.0895756
4.9753971,1,0,12099.887,4.96,1,5.8682599,0.032888278,0,70.058647,-0.42578405,4.9699998,6.1320772,1.0895756
4.9755969,1,0,12099.887,4.96,1,5.8994546,0.034065101,0,74.780304,-0.39505368,4.9699998,6.1320772,1.0895756
4.9757972,1,0,12099.887,4.96,1,5.930161,0.035248119,0,79.390671,-0.3646878,4.9699998,6.1320772,1.0895756
4.975997,1,0,12099.887,4.96,1,5.9602613,0.036437217,0,83.855194,-0.3348062,4.9699998,6.1320772,1.0895756
4.9761972,1,0,12099.887,4.96,1,5.9896407,0.037632268,0,88.141617,-0.30552685,4.9699998,6.1320772,1.0895756
4.976397,1,0,12099.887,4.96,1,6.0181866,0.038833115,0,92.220551,-0.27696526,4.9699998,6.1320772,1.0895756
4.9765973,1,0,12099.887,4.96,1,6.0457892,0.040039577,0,96.065819,-0.24923418,4.9699998,6.1320772,1.0895756
4.9767971,1,0,12099.887,4.96,1,6.0723438,0.041251455,0,99.654938,-0.22244307,4.9699998,6.1320772,1.0895756
4.9769969,1,0,12099.887,4.96,1,6.0977488,0.042468533,0,102.96946,-0.19669767,4.9699998,6.1320772,1.0895756
4.9771972,1,0,12099.887,4.96,1,6.1219068,0.04369057,0,105.99527,-0.17209959,4.9699998,6.1320772,1.0895756
