"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
27.6,293604.53,291307.16,293604.5,291858.09,293604.5,291650.78,293604.5,291533.12
27.700001,293604.53,291347.28,293604.47,291891.25,293604.5,291686.72,293604.5,291570.5
27.799999,293604.53,291386.84,293604.47,291923.81,293604.5,291722.06,293604.5,291607.28
27.9,293604.53,291425.78,293604.47,291955.81,293604.5,291756.81,293604.5,291643.5
28,293604.5,291464.16,293604.47,291987.25,293604.5,291791,293604.5,291679.16
28.1,293604.5,291501.97,293604.47,292018.16,293604.5,291824.62,293604.5,291714.25
28.200001,293604.5,291539.19,293604.47,292048.5,293604.47,291857.66,293604.5,291748.78
28.299999,293604.5,291575.84,293604.47,292078.34,293604.47,291890.16,293604.5,291782.75
28.4,293604.5,291611.94,293604.47,292107.62,293604.47,291922.09,293604.5,291816.16
28.5,293604.5,291647.47,293604.47,292136.38,293604.47,291953.47,293604.5,291849.06
28.6,293604.5,291682.47,293604.47,292164.62,293604.47,291984.31,293604.47,291881.41
28.700001,293604.5,291716.91,293604.47,292192.34,293604.47,292014.62,293604.47,291913.22
28.799999,293604.5,291750.75,293604.47,292219.53,293604.47,292044.41,293604.47,291944.47
28.9,293604.5,291784.09,293604.47,292246.25,293604.47,292073.66,293604.47,291975.22
29,293604.5,291816.88,293604.44,292272.44,293604.47,292102.38,293604.47,292005.44
29.1,293604.47,291849.12,293604.44,292298.16,293604.47,292130.59,293604.47,292035.16
29.200001,293604.47,291880.84,293604.44,292323.41,293604.47,292158.28,293604.47,292064.34
29.299999,293604.47,291912.03,293604.44,292348.16,293604.47,292185.47,293604.47,292093.03
29.4,293604.47,291942.72,293604.44,292372.44,293604.47,292212.19,293604.47,292121.22
29.5,293604.47,291972.88,293604.44,292396.28,293604.44,292238.41,293604.47,292148.91
29.6,293604.47,292002.53,293604.44,292419.62,293604.44,292264.16,293604.47,292176.12
29.700001,293604.47,292031.66,293604.44,292442.56,293604.44,292289.41,293604.47,292202.84
29.799999,293604.47,292060.31,293604.44,292465.03,293604.44,292314.19,293604.47,292229.06
29.9,293604.47,292088.44,293604.44,292487.03,293604.44,292338.5,293604.47,292254.81
30,293604.47,292116.09,293604.44,292508.66,293604.44,292362.38,293604.44,292280.12
30.1,293604.47,292143.28,293604.44,292529.81,293604.44,292385.78,293604.44,292304.94
30.200001,293604.47,292169.97,293604.44,292550.56,293604.44,292408.75,293604.44,292329.31
30.299999,293604.47,292196.19,293604.44,292570.94,293604.44,292431.31,293604.44,292353.25
30.4,293604.47,292221.97,293604.44,292590.88,293604.44,292453.41,293604.44,292376.72
30.5,293604.44,292247.25,293604.44,292610.41,293604.44,292475.09,293604.44,292399.78
30.6,293604.44,292272.09,293604.44,292629.56,293604.44,292496.34,293604.44,292422.38
30.700001,293604.44,292296.47,293604.44,292648.34,293604.44,292517.22,293604.44,292444.56
30.799999,293604.44,292320.44,293604.41,292666.75,293604.44,292537.66,293604.44,292466.34
