"Time","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","idealthyristor.off","meanCurrent.x","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9817972,3067.3826,4.98,1,7.5892677e-07,1.9981117e-07,1.5178536e-05,4.9699998,1.251333,25.026661
4.9819975,3067.3826,4.98,1,9.297982e-07,2.657809e-07,1.8595965e-05,4.9699998,1.251333,25.026661
4.9821973,3067.3826,4.98,1,1.1172971e-06,3.4168849e-07,2.2345941e-05,4.9699998,1.251333,25.026661
4.9823976,3067.3826,4.98,1,1.3214232e-06,4.2753393e-07,2.6428464e-05,4.9699998,1.251333,25.026661
4.9825974,3067.3826,4.98,1,1.5360152e-06,5.2593305e-07,3.0720304e-05,4.9699998,1.251333,25.026661
4.9827971,3067.3826,4.98,1,1.7636105e-06,6.3580865e-07,3.5272213e-05,4.9699998,1.251333,25.026661
4.9829974,3067.3826,4.98,1,2.0049458e-06,7.568479e-07,4.0098916e-05,4.9699998,1.251333,25.026661
4.9831972,3067.3826,4.98,1,2.2600211e-06,8.8905085e-07,4.5200421e-05,4.9699998,1.251333,25.026661
4.9833975,3067.3826,4.98,1,2.5212416e-06,1.0296329e-06,5.0424835e-05,4.9699998,1.251333,25.026661
4.9835973,3067.3826,4.98,1,2.791211e-06,1.1795487e-06,5.5824221e-05,4.9699998,1.251333,25.026661
4.9837976,3067.3826,4.98,1,3.0711633e-06,1.3392505e-06,6.142327e-05,4.9699998,1.251333,25.026661
4.9839973,3067.3826,4.98,1,3.3610984e-06,1.5087385e-06,6.7221968e-05,4.9699998,1.251333,25.026661
4.9841976,3067.3826,4.98,1,3.6559882e-06,1.683718e-06,7.3119765e-05,4.9699998,1.251333,25.026661
4.9843974,3067.3826,4.98,1,3.9556257e-06,1.8640125e-06,7.9112513e-05,4.9699998,1.251333,25.026661
4.9845972,3067.3826,4.98,1,4.2600554e-06,2.0496598e-06,8.5201107e-05,4.9699998,1.251333,25.026661
4.9847975,3067.3826,4.98,1,4.5683869e-06,2.2398997e-06,9.1367736e-05,4.9699998,1.251333,25.026661
4.9849849,3067.3826,4.98,1,4.8583884e-06,2.418624e-06,9.7167765e-05,4.9699998,1.251333,25.026661
4.9849849,3067.3826,4.98,0,4.8583884e-06,2.418624e-06,9.7167765e-05,4.9699998,1.251333,25.026661
4.9849973,3067.3826,4.98,0,0.00010162342,0.30106294,0.0020324683,4.9699998,1.251333,25.026661
4.9851975,3067.3826,4.98,0,0.0016563305,5.1351018,0.033126611,4.9699998,1.251333,25.026661
4.9853973,3067.3826,4.98,0,0.0032049851,9.931591,0.064099699,4.9699998,1.251333,25.026661
4.9855976,3067.3826,4.98,0,0.0047414699,14.653022,0.094829403,4.9699998,1.251333,25.026661
4.9857974,3067.3826,4.98,0,0.0062597212,19.263092,0.12519442,4.9699998,1.251333,25.026661
4.9859977,3067.3826,4.98,0,0.0077537461,23.727266,0.15507492,4.9699998,1.251333,25.026661
4.9861975,3067.3826,4.98,0,0.0092176488,28.013308,0.18435298,4.9699998,1.251333,25.026661
4.9863973,3067.3826,4.98,0,0.01064565,32.091785,0.21291301,4.9699998,1.251333,25.026661
4.9865975,3067.3826,4.98,0,0.012032116,35.936539,0.24064231,4.9699998,1.251333,25.026661
4.9867973,3067.3826,4.98,0,0.013371572,39.525097,0.26743144,4.9699998,1.251333,25.026661
4.9869976,3067.3826,4.98,0,0.014658731,42.839027,0.29317462,4.9699998,1.251333,25.026661
4.9871974,3067.3826,4.98,0,0.015888516,45.864243,0.31777033,4.9699998,1.251333,25.026661
4.9873977,3067.3826,4.98,0,0.01705607,48.591198,0.34112141,4.9699998,1.251333,25.026661
4.9875975,3067.3826,4.98,0,0.018156787,51.015041,0.36313576,4.9699998,1.251333,25.026661
4.9877977,3067.3826,4.98,0,0.019186324,53.135719,0.38372645,4.9699998,1.251333,25.026661
4.9879975,3067.3826,4.98,0,0.020140612,54.957951,0.40281224,4.9699998,1.251333,25.026661
4.9881973,3067.3826,4.98,0,0.021015888,56.491177,0.42031777,4.9699998,1.251333,25.026661
4.9883976,3067.3826,4.98,0,0.021808699,57.74939,0.43617398,4.9699998,1.251333,25.026661
4.9885974,3067.3826,4.98,0,0.022515913,58.750912,0.45031828,4.9699998,1.251333,25.026661
4.9887977,3067.3826,4.98,0,0.023134742,59.518112,0.46269485,4.9699998,1.251333,25.026661
4.9889975,3067.3826,4.98,0,0.02366274,60.077057,0.47325483,4.9699998,1.251333,25.026661
4.9891977,3067.3826,4.98,0,0.024097826,60.4571,0.48195654,4.9699998,1.251333,25.026661
4.9893975,3067.3826,4.98,0,0.024438281,60.690418,0.48876563,4.9699998,1.251333,25.026661
4.9895978,3067.3826,4.98,0,0.024682762,60.811504,0.49365523,4.9699998,1.251333,25.026661
4.9897976,3067.3826,4.98,0,0.024830304,60.856617,0.49660605,4.9699998,1.251333,25.026661
4.9899974,3067.3826,4.98,0,0.024880324,60.863209,0.49760646,4.9699998,1.251333,25.026661
4.9899998,3067.3826,4.98,0,0.024880331,60.863209,0.49760661,4.9699998,1.251333,25.026661
4.9899998,3067.3826,4.98,1,0.024880331,60.863209,0.49760661,4.9899998,1.251333,25.026661
